,nof_selected_features,nof_samples,min_test_error_0,min_test_error_1,min_test_error_2,min_test_error_3,min_test_error_4,min_test_error_5,min_test_error_6,min_test_error_7,min_test_error_8,min_test_error_9
55,160,300,0.09333333333333334,0.09333333333333334,0.10666666666666667,0.05333333333333334,0.10666666666666667,0.06666666666666667,0.12,0.02666666666666667,0.09333333333333334,0.13333333333333333
56,170,300,0.10666666666666667,0.08,0.04,0.06666666666666667,0.08,0.04,0.08,0.04,0.05333333333333334,0.09333333333333334
57,180,300,0.09333333333333334,0.06666666666666667,0.04,0.12,0.10666666666666667,0.05333333333333334,0.08,0.02666666666666667,0.06666666666666667,0.04
58,190,300,0.10666666666666667,0.12,0.05333333333333334,0.08,0.08,0.09333333333333334,0.10666666666666667,0.10666666666666667,0.08,0.08
59,200,300,0.05333333333333334,0.09333333333333334,0.04,0.08,0.05333333333333334,0.06666666666666667,0.09333333333333334,0.08,0.02666666666666667,0.12
60,10,400,0.14,0.11,0.13,0.13,0.1,0.07,0.1,0.11,0.15,0.15
61,20,400,0.13,0.13,0.11,0.16,0.19,0.18,0.12,0.14,0.14,0.11
62,30,400,0.12,0.07,0.14,0.11,0.11,0.12,0.14,0.1,0.08,0.17
63,40,400,0.13,0.1,0.17,0.07,0.16,0.16,0.13,0.09,0.12,0.1
64,50,400,0.1,0.11,0.06,0.1,0.09,0.12,0.14,0.1,0.12,0.09
65,60,400,0.15,0.1,0.13,0.1,0.12,0.13,0.13,0.07,0.12,0.14
66,70,400,0.12,0.08,0.09,0.08,0.08,0.17,0.2,0.12,0.09,0.14
67,80,400,0.06,0.11,0.09,0.09,0.09,0.06,0.15,0.11,0.12,0.09
68,90,400,0.12,0.06,0.12,0.12,0.12,0.09,0.15,0.11,0.09,0.06
69,100,400,0.11,0.06,0.11,0.16,0.09,0.13,0.07,0.1,0.07,0.04
70,110,400,0.11,0.07,0.12,0.1,0.1,0.07,0.1,0.07,0.08,0.06
71,120,400,0.06,0.13,0.09,0.06,0.1,0.1,0.11,0.09,0.1,0.11
72,130,400,0.11,0.08,0.07,0.06,0.07,0.09,0.08,0.08,0.1,0.04
73,140,400,0.04,0.07,0.09,0.12,0.03,0.07,0.09,0.11,0.11,0.04
74,150,400,0.1,0.07,0.08,0.08,0.12,0.06,0.1,0.09,0.07,0.08
75,160,400,0.11,0.07,0.14,0.1,0.1,0.09,0.11,0.11,0.09,0.09
76,170,400,0.1,0.09,0.06,0.09,0.06,0.09,0.1,0.06,0.09,0.06
77,180,400,0.09,0.08,0.08,0.04,0.08,0.07,0.08,0.1,0.12,0.07
78,190,400,0.14,0.13,0.07,0.14,0.06,0.06,0.08,0.1,0.1,0.09
79,200,400,0.08,0.04,0.13,0.1,0.08,0.1,0.06,0.09,0.06,0.08
80,10,500,0.12,0.088,0.12,0.08,0.064,0.088,0.088,0.128,0.056,0.096
81,20,500,0.12,0.104,0.104,0.112,0.12,0.12,0.12,0.144,0.112,0.088
82,30,500,0.12,0.048,0.096,0.128,0.104,0.144,0.144,0.064,0.104,0.08
83,40,500,0.112,0.104,0.112,0.128,0.088,0.176,0.104,0.12,0.128,0.096
84,50,500,0.168,0.072,0.072,0.112,0.12,0.104,0.128,0.064,0.112,0.064
85,60,500,0.16,0.088,0.112,0.128,0.12,0.12,0.104,0.128,0.096,0.056
86,70,500,0.152,0.104,0.12,0.056,0.104,0.032,0.056,0.024,0.136,0.048
87,80,500,0.144,0.088,0.08,0.096,0.112,0.128,0.088,0.088,0.072,0.072
88,90,500,0.072,0.104,0.12,0.088,0.072,0.12,0.104,0.08,0.152,0.064
89,100,500,0.104,0.088,0.136,0.096,0.08,0.12,0.08,0.096,0.064,0.112
90,110,500,0.048,0.104,0.072,0.112,0.088,0.088,0.056,0.056,0.104,0.104
91,120,500,0.104,0.08,0.072,0.08,0.072,0.088,0.104,0.064,0.104,0.128
92,130,500,0.088,0.08,0.064,0.104,0.136,0.056,0.088,0.088,0.096,0.08
93,140,500,0.096,0.072,0.096,0.072,0.056,0.064,0.12,0.096,0.064,0.096
94,150,500,0.096,0.088,0.144,0.064,0.08,0.088,0.064,0.064,0.056,0.072
